,rand_layer,pearson,ssim,spearman,action
0,1,0.382239266904837,0.833432779204033,0.11667545349371135,1
1,2,0.37216306329854476,0.7536844354252848,0.06674851458076755,1
2,3,0.3723312503575451,0.6909582248508306,0.0768671917831703,1
3,4,0.34598149346006923,0.691532374662434,0.13999607369677508,1
4,5,0.30179146143987257,0.5834629449033701,0.057302483460034234,1
5,6,0.002856419971156253,0.011426360436577188,0.015812427196431368,1
6,7,0.01824932892443476,0.06240465204020209,0.010253018521952062,1
7,1,0.4450133030067681,0.7989848736469085,0.34522901179820425,5
8,2,0.37932044809975146,0.7263272924420212,0.01375127034780068,5
9,3,0.3453199824759986,0.617678719835006,0.029240474421306208,5
10,4,0.33071856433467217,0.6673646989928672,0.054908662911718795,5
11,5,0.330179024830103,0.6388026263808781,0.025376382864785357,5
12,6,-0.01133542474823541,0.012112529654150208,0.008876967418830876,5
13,7,-7.681333400438048e-05,0.06690994619084709,0.010704761691316043,5
14,1,0.6802194828943751,0.9930494057598331,0.8380531058653109,2
15,2,0.37620758625680484,0.6713532525389124,0.04609720714635277,2
16,3,0.35540634787565284,0.6855456129954143,0.1117147109155047,2
17,4,0.33059554939246144,0.5907990175659497,0.051390131031785906,2
18,5,0.3451893474613291,0.6251351856428736,0.020221242184754976,2
19,6,-0.013460967882546354,0.011890584320644729,0.01200670184773307,2
20,7,0.0008636621354417588,0.07097206178898757,0.02015733223164875,2
21,1,0.38971173274491233,0.8281243099653143,0.1312436277640996,1
22,2,0.35959825875598844,0.7569895991015375,0.01661329206989155,1
23,3,0.3551463853168108,0.6854454387160613,0.08016054315235234,1
24,4,0.3388558596798894,0.681786426967122,0.15244518862074888,1
25,5,0.3286862830045967,0.5894379783117368,0.05425703398816048,1
26,6,-0.00415740638768615,0.011984377355573492,0.008661737965082076,1
27,7,0.021027458284208492,0.06812218861726327,0.008048561202957133,1
28,1,0.382239266904837,0.833432779204033,0.11667545349371135,1
29,2,0.37216306329854476,0.7536844354252848,0.06674851458076755,1
