,rand_layer,pearson,ssim,spearman,action
0,1,0.3313583466156989,0.7235242851953183,0.0025541370874564364,1
1,2,0.30595015502414746,0.615636985013881,0.22937939744769892,1
2,3,0.2582748041779065,0.604086696151257,0.03188324458786597,1
3,4,0.274833472293653,0.5966955053071863,0.0015987624278125767,1
4,5,0.2945742008945224,0.5401229487856146,0.15924259892170484,1
5,6,0.025852355285019637,0.012977025320765891,0.0010550722529130976,1
6,7,0.02587095140034043,0.061093822370267094,0.00387060985901232,1
7,1,0.31054108923583035,0.7155680877347683,0.03421379231494557,5
8,2,0.36049624194750046,0.6929442593656606,0.31926507979260627,5
9,3,0.3452954212659031,0.6362833661838948,0.1901105749578483,5
10,4,0.30278212721761866,0.6295052855332453,0.08726513191382701,5
11,5,0.273026479858325,0.5703755051014775,0.03170983250449021,5
12,6,0.0016302415637651502,0.013075043649977297,0.009216147484706538,5
13,7,0.01827198769933176,0.07030247533607897,0.01429001069046684,5
14,1,0.2893904826159651,0.712576820085325,0.04981798883031791,2
15,2,0.3020405887008233,0.6645595510763533,0.08223023568722508,2
16,3,0.2938199673149873,0.6712170374542574,0.17357638239677578,2
17,4,0.2883045597068421,0.538461836510485,0.03306913905873142,2
18,5,0.30120558789035085,0.6083657169003217,0.03551760807098205,2
19,6,0.0029536742404270453,0.013619126437611942,0.0027267789501827042,2
20,7,0.013137561209694762,0.0751781292329653,0.01606310224626777,2
21,1,0.34754263943759217,0.7381872950398688,0.009112477619851825,1
22,2,0.30476866498206684,0.6296664341772635,0.22420061728078738,1
23,3,0.24876104897629217,0.6085465670216362,0.006915883604781661,1
24,4,0.2653770078673879,0.5915350935843544,0.010514640876677462,1
25,5,0.30543041836782,0.5301273172495775,0.19287688841462375,1
26,6,0.01624251248475415,0.012577421472617457,0.010299990168580657,1
27,7,-0.003904393049835993,0.06829095794876712,0.009957290907364899,1
28,1,0.3313583466156989,0.7235242851953183,0.0025541370874564364,1
29,2,0.30595015502414746,0.615636985013881,0.22937939744769892,1
30,3,0.2582748041779065,0.604086696151257,0.03188324458786597,1
31,4,0.274833472293653,0.5966955053071863,0.0015987624278125767,1
32,5,0.2945742008945224,0.5401229487856146,0.15924259892170484,1
33,6,0.02582771266951319,0.012734720852820349,0.016032937863274883,1
34,7,0.005290779957513659,0.06782832023637753,0.016700938794980923,1
35,1,0.31054108923583035,0.7155680877347683,0.03421379231494557,5
36,2,0.36049624194750046,0.6929442593656606,0.31926507979260627,5
37,3,0.3452954212659031,0.6362833661838948,0.1901105749578483,5
38,4,0.30278212721761866,0.6295052855332453,0.08726513191382701,5
39,5,0.273026479858325,0.5703755051014775,0.03170983250449021,5
40,6,-0.009169497814341619,0.01246574512578199,0.0024817458048400926,5
41,7,0.007183532327913406,0.07412018065416212,0.018894859667691867,5
42,1,0.2893904826159651,0.712576820085325,0.04981798883031791,2
43,2,0.3020405887008233,0.6645595510763533,0.08223023568722508,2
