,rand_layer,pearson,ssim,spearman,action
0,1,0.042735490999584264,0.48399287573978395,0.48946294904835774,1
1,2,0.0028110034010963504,0.43286663845690126,0.1571661552755758,1
2,3,0.264196619927443,0.6325817328454405,0.8148113566608209,1
3,4,-0.0017144273423217908,0.3319773083691908,0.39032901987918883,1
4,5,0.07419063720045879,0.5430151875552123,0.5850865556942373,1
5,6,0.022899664280428465,0.012651447359685146,0.00932291401325721,1
6,7,-0.0032534126071572978,0.05998223355461662,0.007350102475623212,1
7,1,0.6419426352957662,0.8993004544824478,0.9468915490448097,5
8,2,0.025300152947698246,0.3726396469766854,0.25354042496412493,5
9,3,-0.029280740785480732,0.30995500623712735,0.11886296584872547,5
10,4,0.09170176584326986,0.5150879877499666,0.35484610571360964,5
11,5,0.038775780663980935,0.3935827430948124,0.20361729084469407,5
12,6,0.022539252000522748,0.01305097013654074,0.025048968593038762,5
13,7,0.016966922842604152,0.06590626957030064,0.007559816276582595,5
14,1,0.6662039655385159,0.9414726419649424,0.9709340997838259,2
15,2,0.01586800430248468,0.35285027863386215,0.09113131053924307,2
16,3,0.014557291977675241,0.30857663448647127,0.2866412921567725,2
17,4,-0.005700389953654549,0.387914492302933,0.380335431214985,2
18,5,0.003581925351783888,0.28337717956112907,0.07119727499557335,2
19,6,0.007487036199663495,0.015147596633175976,0.014603879593190731,2
20,7,-0.005085396474747332,0.053778359662398884,0.0010616249620734844,2
21,1,0.03840331363018431,0.48510667301561006,0.5036067184880614,1
22,2,0.0035348390623225986,0.423124618958248,0.15860337288769408,1
23,3,0.26535347626303507,0.6330543600345975,0.815822353020521,1
24,4,0.0027385347112608674,0.34137276466845445,0.40893421710506644,1
25,5,0.05242422889137575,0.5253219747934986,0.576979672020277,1
26,6,-0.005073932729433714,0.011805775301595597,0.007086175731041805,1
27,7,0.019012693629401223,0.05388361709377504,0.007738955251470999,1
28,1,0.042735490999584264,0.48399287573978395,0.48946294904835774,1
29,2,0.0028110034010963504,0.43286663845690126,0.1571661552755758,1
30,3,0.264196619927443,0.6325817328454405,0.8148113566608209,1
31,4,-0.0017144273423217908,0.3319773083691908,0.39032901987918883,1
32,5,0.07419063720045879,0.5430151875552123,0.5850865556942373,1
33,6,0.017727336693372536,0.013077148193856067,0.0085078799168981,1
34,7,0.010478256912806828,0.05058103379298297,0.011146781109585183,1
35,1,0.6419426352957662,0.8993004544824478,0.9468915490448097,5
36,2,0.025300152947698246,0.3726396469766854,0.25354042496412493,5
37,3,-0.029280740785480732,0.30995500623712735,0.11886296584872547,5
38,4,0.09170176584326986,0.5150879877499666,0.35484610571360964,5
39,5,0.038775780663980935,0.3935827430948124,0.20361729084469407,5
40,6,0.01760960177494371,0.012077572793280422,0.0012828028070024965,5
41,7,-0.0029784826195556518,0.0546029363245105,0.006299143363449377,5
42,1,0.6662039655385159,0.9414726419649424,0.9709340997838259,2
43,2,0.01586800430248468,0.35285027863386215,0.09113131053924307,2
44,3,0.014557291977675241,0.30857663448647127,0.2866412921567725,2
45,4,-0.005700389953654549,0.387914492302933,0.380335431214985,2
46,5,0.003581925351783888,0.28337717956112907,0.07119727499557335,2
47,6,0.019994573674728792,0.013685760150974722,0.0010429373420442441,2
48,7,-0.010933471937816169,0.051636388695182674,0.003074817939420297,2
49,1,0.03840331363018431,0.48510667301561006,0.5036067184880614,1
50,2,0.0035348390623225986,0.423124618958248,0.15860337288769408,1
51,3,0.26535347626303507,0.6330543600345975,0.815822353020521,1
52,4,0.0027385347112608674,0.34137276466845445,0.40893421710506644,1
53,5,0.05242422889137575,0.5253219747934986,0.576979672020277,1
54,6,0.03406600470251321,0.01612553495025532,0.01359372279414676,1
55,7,0.0013369005219625541,0.05431462808140064,0.020583601997354768,1
56,1,0.042735490999584264,0.48399287573978395,0.48946294904835774,1
57,2,0.0028110034010963504,0.43286663845690126,0.1571661552755758,1
58,3,0.264196619927443,0.6325817328454405,0.8148113566608209,1
59,4,-0.0017144273423217908,0.3319773083691908,0.39032901987918883,1
60,5,0.07419063720045879,0.5430151875552123,0.5850865556942373,1
61,6,0.009222092749180686,0.01365015518363762,0.013277211740208255,1
62,7,0.0129769595123161,0.052005394261939585,0.010761628542418127,1
63,1,0.6419426352957662,0.8993004544824478,0.9468915490448097,5
64,2,0.025300152947698246,0.3726396469766854,0.25354042496412493,5
65,3,-0.029280740785480732,0.30995500623712735,0.11886296584872547,5
66,4,0.09170176584326986,0.5150879877499666,0.35484610571360964,5
67,5,0.038775780663980935,0.3935827430948124,0.20361729084469407,5
68,6,0.002251765385050105,0.01236010767867732,0.00871554800182791,5
69,7,-0.0023623215160533026,0.04930709545464439,0.0006050778687589669,5
70,1,0.6662039655385159,0.9414726419649424,0.9709340997838259,2
71,2,0.01586800430248468,0.35285027863386215,0.09113131053924307,2
72,3,0.014557291977675241,0.30857663448647127,0.2866412921567725,2
73,4,-0.005700389953654549,0.387914492302933,0.380335431214985,2
74,5,0.003581925351783888,0.28337717956112907,0.07119727499557335,2
75,6,0.01889294784628682,0.013461792300603247,0.004058092879359514,2
76,7,0.015393423449021996,0.054449923457096504,0.010056810608101189,2
77,1,0.03840331363018431,0.48510667301561006,0.5036067184880614,1
78,2,0.0035348390623225986,0.423124618958248,0.15860337288769408,1
79,3,0.26535347626303507,0.6330543600345975,0.815822353020521,1
80,4,0.0027385347112608674,0.34137276466845445,0.40893421710506644,1
81,5,0.05242422889137575,0.5253219747934986,0.576979672020277,1
82,6,0.013462908370023806,0.013332083215279364,0.020061895869830846,1
83,7,-0.006828267533323937,0.05557557723926391,0.011752593192549662,1
84,1,0.042735490999584264,0.48399287573978395,0.48946294904835774,1
85,2,0.0028110034010963504,0.43286663845690126,0.1571661552755758,1
86,3,0.264196619927443,0.6325817328454405,0.8148113566608209,1
87,4,-0.0017144273423217908,0.3319773083691908,0.39032901987918883,1
88,5,0.07419063720045879,0.5430151875552123,0.5850865556942373,1
89,6,0.009037786373780686,0.014076844978238794,0.01153119447532825,1
90,7,0.007789153317755872,0.05181465023320715,0.00587155308539945,1
91,1,0.6419426352957662,0.8993004544824478,0.9468915490448097,5
92,2,0.025300152947698246,0.3726396469766854,0.25354042496412493,5
93,3,-0.029280740785480732,0.30995500623712735,0.11886296584872547,5
94,4,0.09170176584326986,0.5150879877499666,0.35484610571360964,5
