,rand_layer,pearson,ssim,spearman,action
0,1,0.20283413849574264,0.629766763406179,0.6132342027984943,1
1,2,0.21315347055463568,0.6238987140172716,0.6679850576903413,1
2,3,0.21063195226157944,0.5920511620455663,0.5695985411640855,1
3,4,0.1681403056972084,0.5563664152060228,0.5613622894133571,1
4,5,0.16344296276962283,0.484797993891234,0.569334145541539,1
5,6,-0.006547899763778123,0.0019453714994772456,0.008575548810222273,1
6,7,0.006005269964612949,0.006306431642127215,0.01534781343472327,1
7,1,0.1501352660853219,0.6694571316498886,0.5693276799138242,5
8,2,0.14648872132073815,0.5413869280296926,0.532914818520275,5
9,3,0.1460277119699275,0.5388483518441577,0.5796234845571407,5
10,4,0.14518901231057593,0.561000296342785,0.559055656370263,5
11,5,0.13834400367552613,0.49800986963934263,0.5586136771264978,5
12,6,-0.0015557656508918634,0.0013094400744246026,0.013444700167302566,5
13,7,-0.025721320297401627,0.005031874358318366,0.0003928083753600648,5
14,1,0.1648309342754499,0.6428972920554512,0.5593396326878163,2
15,2,0.18856242110336208,0.5648181416185636,0.5911732798876486,2
16,3,0.20333559810361973,0.5735663333078744,0.6260540605165272,2
17,4,0.23109891282081269,0.5510151065079599,0.6155777340955234,2
18,5,0.17193554646274176,0.5103465848838858,0.6113522739217528,2
19,6,0.011143837460091401,0.0022633835085400173,0.014663347348574711,2
20,7,-0.005854734094342685,0.007843421986106514,0.008834758398001175,2
21,1,0.2147676649318454,0.629940837257348,0.6192531156077106,1
22,2,0.21901838601245083,0.6251237612849475,0.6618177359381048,1
23,3,0.2061944650323862,0.5850877076612324,0.5719348011212602,1
24,4,0.1754304336584802,0.54789281456313,0.5669109208640901,1
25,5,0.1584176155171983,0.4840807214963192,0.5487864004538179,1
26,6,0.008957708340114183,0.0013819758537792633,0.01109477198344631,1
27,7,-0.017268347344092237,0.005618836063002272,0.01688039621998092,1
28,1,0.20283413849574264,0.629766763406179,0.6132342027984943,1
29,2,0.21315347055463568,0.6238987140172716,0.6679850576903413,1
30,3,0.21063195226157944,0.5920511620455663,0.5695985411640855,1
31,4,0.1681403056972084,0.5563664152060228,0.5613622894133571,1
32,5,0.16344296276962283,0.484797993891234,0.569334145541539,1
33,6,-1.194727553908417e-05,0.001592905764135156,8.92575501605014e-05,1
34,7,-0.009728061871511503,0.007058764502241112,0.010315554767399345,1
35,1,0.1501352660853219,0.6694571316498886,0.5693276799138242,5
36,2,0.14648872132073815,0.5413869280296926,0.532914818520275,5
37,3,0.1460277119699275,0.5388483518441577,0.5796234845571407,5
38,4,0.14518901231057593,0.561000296342785,0.559055656370263,5
39,5,0.13834400367552613,0.49800986963934263,0.5586136771264978,5
40,6,0.010943563953117364,0.0030470427286987947,0.006196783021311388,5
41,7,-0.006416452078702036,0.005776935931895507,0.026971718221708657,5
42,1,0.1648309342754499,0.6428972920554512,0.5593396326878163,2
43,2,0.18856242110336208,0.5648181416185636,0.5911732798876486,2
44,3,0.20333559810361973,0.5735663333078744,0.6260540605165272,2
45,4,0.23109891282081269,0.5510151065079599,0.6155777340955234,2
46,5,0.17193554646274176,0.5103465848838858,0.6113522739217528,2
47,6,-0.00845656824489927,0.0018609665467201877,0.007248941926086788,2
48,7,0.012890049344243789,0.00386500627319313,0.009778375452869532,2
49,1,0.2147676649318454,0.629940837257348,0.6192531156077106,1
50,2,0.21901838601245083,0.6251237612849475,0.6618177359381048,1
51,3,0.2061944650323862,0.5850877076612324,0.5719348011212602,1
52,4,0.1754304336584802,0.54789281456313,0.5669109208640901,1
53,5,0.1584176155171983,0.4840807214963192,0.5487864004538179,1
54,6,-0.00043401182389634285,0.0029997376587059055,0.003230650793288258,1
55,7,0.007412194099053037,0.004679211560729713,0.0020470802858478464,1
56,1,0.20283413849574264,0.629766763406179,0.6132342027984943,1
57,2,0.21315347055463568,0.6238987140172716,0.6679850576903413,1
58,3,0.21063195226157944,0.5920511620455663,0.5695985411640855,1
59,4,0.1681403056972084,0.5563664152060228,0.5613622894133571,1
60,5,0.16344296276962283,0.484797993891234,0.569334145541539,1
61,6,0.0062393087257816265,0.0019824242178646772,0.0012587704646190986,1
62,7,-0.0017395361369381508,0.008631338893408669,0.015666296004327906,1
63,1,0.1501352660853219,0.6694571316498886,0.5693276799138242,5
64,2,0.14648872132073815,0.5413869280296926,0.532914818520275,5
65,3,0.1460277119699275,0.5388483518441577,0.5796234845571407,5
66,4,0.14518901231057593,0.561000296342785,0.559055656370263,5
67,5,0.13834400367552613,0.49800986963934263,0.5586136771264978,5
68,6,0.021956143098117244,0.0024173594027675797,0.0051110448893418,5
69,7,0.008270897714150668,0.0056458400863188506,0.009745184002153993,5
70,1,0.1648309342754499,0.6428972920554512,0.5593396326878163,2
71,2,0.18856242110336208,0.5648181416185636,0.5911732798876486,2
72,3,0.20333559810361973,0.5735663333078744,0.6260540605165272,2
73,4,0.23109891282081269,0.5510151065079599,0.6155777340955234,2
74,5,0.17193554646274176,0.5103465848838858,0.6113522739217528,2
75,6,-0.02595360148431735,0.0023578188814115447,0.0011230912292759584,2
76,7,0.019270369913077973,0.0042854882031659915,0.0015607994661782846,2
77,1,0.2147676649318454,0.629940837257348,0.6192531156077106,1
78,2,0.21901838601245083,0.6251237612849475,0.6618177359381048,1
79,3,0.2061944650323862,0.5850877076612324,0.5719348011212602,1
80,4,0.1754304336584802,0.54789281456313,0.5669109208640901,1
81,5,0.1584176155171983,0.4840807214963192,0.5487864004538179,1
82,6,0.024070176877725988,0.002042611394738381,0.02237527203565297,1
83,7,0.005184648007557113,0.00486436208265011,0.012627983183997014,1
84,1,0.20283413849574264,0.629766763406179,0.6132342027984943,1
85,2,0.21315347055463568,0.6238987140172716,0.6679850576903413,1
86,3,0.21063195226157944,0.5920511620455663,0.5695985411640855,1
87,4,0.1681403056972084,0.5563664152060228,0.5613622894133571,1
88,5,0.16344296276962283,0.484797993891234,0.569334145541539,1
89,6,0.01749144172039518,0.0023885303521816023,0.008293104023454128,1
90,7,0.019186613656644563,0.004839328789397969,0.009951277117151778,1
91,1,0.1501352660853219,0.6694571316498886,0.5693276799138242,5
92,2,0.14648872132073815,0.5413869280296926,0.532914818520275,5
93,3,0.1460277119699275,0.5388483518441577,0.5796234845571407,5
94,4,0.14518901231057593,0.561000296342785,0.559055656370263,5
95,5,0.13834400367552613,0.49800986963934263,0.5586136771264978,5
96,6,0.015370772592939907,0.001431743509787343,0.006394392640515731,5
97,7,-0.002286371255104929,0.005656775002623425,0.010869449592351099,5
98,1,0.1648309342754499,0.6428972920554512,0.5593396326878163,2
99,2,0.18856242110336208,0.5648181416185636,0.5911732798876486,2
100,3,0.20333559810361973,0.5735663333078744,0.6260540605165272,2
101,4,0.23109891282081269,0.5510151065079599,0.6155777340955234,2
102,5,0.17193554646274176,0.5103465848838858,0.6113522739217528,2
103,6,-0.005344712192359322,0.001116668086656278,0.007073291307230211,2
104,7,-0.01036434109436218,0.004367008867252104,0.010969150858738355,2
105,1,0.2147676649318454,0.629940837257348,0.6192531156077106,1
